"title","title_sort","artist","lev_bas","lev_adv","lev_exc","lev_mas","lev_lnt","lunatic","image_url"
"This game","THISGAME","鈴木このみ「ノーゲーム・ノーライフ」","3","6","8","11 → 11+","","","0009.jpg"
"君の知らない物語","キミノシラナイモノカタリ","supercell 「化物語」","2","5","7+","10+ → 11","","","0010.jpg"
"Gate of Doom","GATEOFDOOM","Masahiro “Godspeed” Aoki","4","7+","11 → 10+","13","","","0017.jpg"
"The Formula","THEFORMULA","Junk","4","7","8+","12 → 12+","","","0019.jpg"
"Halcyon","HALCYON","xi","4","7+","11 → 10+","13","","","0020.jpg"
"Hyper Active","HYPERACTIVE","HiTECH NINJA","3 → 4","7+","11","12+","","","0021.jpg"
"ときめきエクスペリエンス！","トキメキエクスヘリエンス","Poppin’Party「バンドリ！ ガールズバンドパーティ！」","2","6","8","10+ → 11","","","0029.jpg"
"しゅわりん☆どり〜みん","シユワリントリミン","Pastel＊Palettes「バンドリ！ ガールズバンドパーティ！」","2","6","8+","10+ → 11","","","0031.jpg"
"えがおのオーケストラっ！","エカオノオケストラツ","ハロー、ハッピーワールド！「バンドリ！ ガールズバンドパーティ！」","2","5","8","10+ → 11","","","0033.jpg"
"ロッキンピンクモンスター","ロツキンヒンクモンスタ","豚乙女","3","7","10+","12+ → 13","","","0042.jpg"
"初音ミクの激唱","ハツネミクノケキシヨウ","Storyteller","4","7+","11","13+ → 14","","","0049.png"
"SWEET SHAKE!!","SWEETSHAKE","曲：佐藤純一（fhána）／歌：桜井 春菜(CV：近藤 玲奈)","2","6","8","12 → 12+","","","0052.png"
"SAKURA","SAKURA","WITCH NUMBER 4「Tokyo 7th シスターズ」","2","5","8","10+ → 11","","","0053.png"
"Bad Apple!! feat.nomico","BADAPPLEFEATNOMICO","Masayoshi Minoshima","2","5","8","12 → 12+","","","0066.png"
"ナイト・オブ・ナイツ","ナイトオフナイツ","ビートまりお（COOL&CREATE）","3","7","9+","12 → 12+","","","0069.png"
"四次元跳躍機関","ヨシケンチヨウヤクキカン","koutaq","2","5","8","12 → 12+","","","0079.png"
"砂の惑星 feat. HATSUNE MIKU","スナノワクセイFEATHATSUNEMIKU","ハチ","2","5","8 → 8+","12","","","0084.png"
"ブリキノダンス","フリキノタンス","日向電工","2","5","9","11 → 11+","","","0085.png"
"エンドマークに希望と涙を添えて","エントマクニキホウトナミタヲソエテ","cosMo＠暴走P","4","8+","11 → 11+","14","","","0090.png"
"TOMORROW","TOMORROW","Machico「この素晴らしい世界に祝福を！2」","2","5","8+ → 8","11+","","","0091.png"
"カミサマネジマキ","カミサマネシマキ","kemu","3","7","11 → 11+","13+","","","0092.png"
"いーあるふぁんくらぶ","イアルフアンクラフ","みきとP","2","5","8","11+ → 12","","","0095.png"
"連れ去って・閉じ込めて・好きにして","ツレサツテトシコメテスキニシテ","ダクネス（CV：茅野愛衣）「この素晴らしい世界に祝福を！2」","1","5","8","10+ → 11","","","0098.png"
"ナイト・オブ・ナイツ","ナイトオフナイツ","ビートまりお（COOL&CREATE）","","","","","13+ → 14","","0102.png"
"混沌を越えし我らが神聖なる調律主を讃えよ","コントンヲコエシワレラカシンセイナルチヨウリツシユヲタタエヨ","穴山大輔","5","8+","12+ → 13","14","","","0111.jpg"
"secret base ～君がくれたもの～ (10 years after Ver.)","SECRETBASEキミカクレタモノ10YEARSAFTERVER","本間芽衣子(茅野愛衣)、安城鳴子(戸松遥)、鶴見知利子(早見沙織)「あの日見た花の名前を僕達はまだ知らない。」","1","5","8","11 → 11+","","","0112.jpg"
"TeA","TEA","ガリガリさむし","3","7","10","12+ → 13","","","0126.jpg"
"fulgente","FULGENTE","Junk","2","6","8+ → 9","12+ → 13","","","0128.jpg"
"ロキ","ロキ","みきとP","3","6","8+ → 9","12+","","","0133.jpg"
"本能的 Survivor","ホンノウテキSURVIVOR","曲：eba／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)]","3","7","9+","12+ → 13","","","0137.jpg"
"カンペキWill","カンヘキWILL","初春飾利（豊崎愛生）＆佐天涙子（伊藤かな恵）「とある科学の超電磁砲」","2","5","8","11 → 11+","","","0141.jpg"
"星屑ユートピア","ホシクスユトヒア","otetsu","4","7+","11 → 10+","13","","","0145.jpg"
"Death Doll","DEATHDOLL","SHIKI","3","7","11","13+ → 13","","","0151.jpg"
"Lost Princess","LOSTPRINCESS","ペコリーヌ（M・A・O）、コッコロ（伊藤美来）、キャル（立花理香）「プリンセスコネクト！Re:Dive」","2","5","9","11+ → 11","","","0156.jpg"
"東方妖々夢 ～the maximum moving about～","トウホウヨウヨウムTHEMAXIMUMMOVINGABOUT","石鹸屋","3","7","10","12+ → 12","","","0172.jpg"
"Rising Hope","RISINGHOPE","LiSA","3","7","10","13 → 12+","","","0188.jpg"
"Hand in Hand","HANDINHAND","ユーフィリア(CV：高橋 李依)「アンジュ・ヴィエルジュ」","2","7","8+","12+ → 12","","","0189.jpg"
"Garakuta Doll Play","GARAKUTADOLLPLAY","t+pazolite","5","8+","12+ → 13","14","","","0194.jpg"
"チルノのパーフェクトさんすう教室","チルノノハフエクトサンスウキヨウシツ","ARM＋夕野ヨシミ (IOSYS) feat.miko","2","6","9 → 9+","12 → 12+","","","0198.jpg"
"最強 the サマータイム!!!!!","サイキヨウササマータイム","曲：村カワ基成／歌：オンゲキシューターズ","3","6","9 → 9+","12","","","0204.jpg"
"まっすぐ→→→ストリーム！","マツスクストリーム","曲：本多友紀（Arte Refact）／歌：日向 千夏(CV:岡咲 美保)","3","6","9","12+ → 13","","","0205.jpg"
"ADAMAS","ADAMAS","LiSA","3","6","9 → 9+","13","","","0207.jpg"
"GO! GO! MANIAC","GOGOMANIAC","放課後ティータイム","4","7+","10","13 → 13+","","","0208.jpg"
"Touch and Go","TOUCHANDGO","Noah","4","7+","11 → 11+","13 → 13+","","","0209.jpg"
"Preserved Roses","PRESERVEDROSES","T.M.Revolution×水樹奈々","2","6","8+","12 → 12+","","","0212.jpg"
"快晴","カイセイ","Orangestar feat.初音ミク","2","5","9+ → 9","12","","","0213.jpg"
"トリドリ⇒モリモリ！Lovely fruits☆","トリトリモリモリLOVELYFRUITS","曲：やしきん／歌：柏木 美亜(CV:和氣 あず未)","3","6","8+ → 9","12","","","0215.jpg"
"Doll's Destiny","DOLLSDESTINY","DOLLS「プロジェクト東京ドールズ」","4","6","9+","12+ → 12","","","0222.jpg"
"サドマミホリック","サトマミホリツク","ビートまりお（COOL&CREATE）","4","7","10+","13+ → 13","","","0223.jpg"
"Desperado Waltz","DESPERADOWALTZ","ぺのれり","3","7+","12 → 12+","14","","","0225.jpg"
"人類みなセンパイ！","シンルイミナセンハイ","アズマ リム","2","6","8 → 9","12 → 12+","","","0232.jpg"
"全力ハッピーライフ","センリヨクハツヒライフ","森羅万象","3","7","10 → 10+","13","","","0235.jpg"
"銀のめぐり","キンノメクリ","SYNC.ART'S feat. 3L","3","6","9 → 9+","13","","","0238.jpg"
"MAKING！ハイタッチ！","MAKINGハイタツチ","曲：山本恭平（Arte Refact）／歌：FIREシューターズ","2","7","9","12+ → 13","","","0239.jpg"
"インビジブル","インヒシフル","kemu","3","7","11 → 11+","13+ → 13","","","0241.jpg"
"Imperishable Night 2006 (2016 Refine)","IMPERISHABLENIGHT20062016REFINE","ゆうゆ / 篠螺悠那","3","7+","11","13+ → 14","","","0242.jpg"
