title,lev_bas,lev_adv,lev_exc,lev_mas,lev_lnt,lunatic,image_url
This game,,,,11 → 11+,,,0009.jpg
君の知らない物語,,,,10+ → 11,,,0010.jpg
Gate of Doom,,,11 → 10+,,,,0017.jpg
The Formula,,,,12 → 12+,,,0019.jpg
Halcyon,,,11 → 10+,,,,0020.jpg
Hyper Active,3 → 4,,,,,,0021.jpg
ときめきエクスペリエンス！,,,,10+ → 11,,,0029.jpg
しゅわりん☆どり〜みん,,,,10+ → 11,,,0031.jpg
えがおのオーケストラっ！,,,,10+ → 11,,,0033.jpg
ロッキンピンクモンスター,,,,12+ → 13,,,0042.jpg
初音ミクの激唱,,,,13+ → 14,,,0049.png
SWEET SHAKE!!,,,,12 → 12+,,,0052.png
SAKURA,,,,10+ → 11,,,0053.png
Bad Apple!! feat.nomico,,,,12 → 12+,,,0066.png
ナイト・オブ・ナイツ,,,,12 → 12+,,,0069.png
四次元跳躍機関,,,,12 → 12+,,,0079.png
砂の惑星 feat. HATSUNE MIKU,,,8 → 8+,,,,0084.png
ブリキノダンス,,,,11 → 11+,,,0085.png
エンドマークに希望と涙を添えて,,,11 → 11+,,,,0090.png
TOMORROW,,,8+ → 8,,,,0091.png
カミサマネジマキ,,,11 → 11+,,,,0092.png
いーあるふぁんくらぶ,,,,11+ → 12,,,0095.png
連れ去って・閉じ込めて・好きにして,,,,10+ → 11,,,0098.png
ナイト・オブ・ナイツ,,,,,13+ → 14,,0102.png
混沌を越えし我らが神聖なる調律主を讃えよ,,,12+ → 13,,,,0111.jpg
secret base ～君がくれたもの～ (10 years after Ver.),,,,11 → 11+,,,0112.jpg
TeA,,,,12+ → 13,,,0126.jpg
fulgente,,,8+ → 9,12+ → 13,,,0128.jpg
ロキ,,,8+ → 9,,,,0133.jpg
本能的 Survivor,,,,12+ → 13,,,0137.jpg
カンペキWill,,,,11 → 11+,,,0141.jpg
星屑ユートピア,,,11 → 10+,,,,0145.jpg
Death Doll,,,,13+ → 13,,,0151.jpg
Lost Princess,,,,11+ → 11,,,0156.jpg
東方妖々夢 ～the maximum moving about～,,,,12+ → 12,,,0172.jpg
Rising Hope,,,,13 → 12+,,,0188.jpg
Hand in Hand,,,,12+ → 12,,,0189.jpg
Garakuta Doll Play,,,12+ → 13,,,,0194.jpg
チルノのパーフェクトさんすう教室,,,9 → 9+,12 → 12+,,,0198.jpg
最強 the サマータイム!!!!!,,,9 → 9+,,,,0204.jpg
まっすぐ→→→ストリーム！,,,,12+ → 13,,,0205.jpg
ADAMAS,,,9 → 9+,,,,0207.jpg
GO! GO! MANIAC,,,,13 → 13+,,,0208.jpg
Touch and Go,,,11 → 11+,13 → 13+,,,0209.jpg
Preserved Roses,,,,12 → 12+,,,0212.jpg
快晴,,,9+ → 9,,,,0213.jpg
トリドリ⇒モリモリ！Lovely fruits☆,,,8+ → 9,,,,0215.jpg
Doll's Destiny,,,,12+ → 12,,,0222.jpg
サドマミホリック,,,,13+ → 13,,,0223.jpg
Desperado Waltz,,,12 → 12+,,,,0225.jpg
人類みなセンパイ！,,,8 → 9,12 → 12+,,,0232.jpg
全力ハッピーライフ,,,10 → 10+,,,,0235.jpg
銀のめぐり,,,9 → 9+,,,,0238.jpg
MAKING！ハイタッチ！,,,,12+ → 13,,,0239.jpg
インビジブル,,,11 → 11+,13+ → 13,,,0241.jpg
Imperishable Night 2006 (2016 Refine),,,,13+ → 14,,,0242.jpg
メーベル (self cover),,,,11+ → 12,,,0247.jpg
HONEY-Q,,,11+ → 12,,,,0250.jpg
お願い☆My Boy,,,,11 → 11+,,,0255.jpg
